Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,11/3/2022 7:21,FALSE,Saginaw Running,6,658,0:41:17,0,0,169,180,6:53,6:09,15,15,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.1,7,0,0:41:16,0:42:59,585,600
Running,11/3/2022 7:00,FALSE,Extra Mileage,0.5,49,0:04:00,0,0,--,--,8:00,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:00.0,1,0,0:00:00,0:04:00,--,--
Treadmill Running,11/3/2022 6:56,FALSE,Treadmill Running,1.56,139,0:10:43,0,0,162,215,6:54,2:50,--,--,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:27.4,15,0,0:10:00,0:10:43,--,--
Running,11/3/2022 6:23,FALSE,Saginaw Running,3.01,328,0:21:30,0,0,166,240,7:09,5:40,--,--,1.36,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,4,0,0:21:30,0:21:30,591,597
Running,11/2/2022 16:12,FALSE,Saginaw Running,11.01,"1,198",1:18:05,0,0,165,173,7:06,6:19,21,16,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,12,0,1:18:04,1:21:38,584,604
Running,11/1/2022 18:06,FALSE,Saginaw Running,3.34,364,0:23:32,0,0,165,173,7:03,6:25,7,8,1.38,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:14.7,4,0,0:23:31,0:30:13,591,600
Running,11/1/2022 7:39,FALSE,Saginaw Running,2,219,0:14:02,0,0,165,174,7:00,6:39,--,--,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,3,0,0:14:02,0:14:02,591,597
Treadmill Running,11/1/2022 6:48,FALSE,Treadmill Running,6.66,722,0:44:28,0,0,171,215,6:41,4:20,--,--,1.39,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:27.9,15,0,0:44:26,0:44:28,--,--
Running,11/1/2022 6:09,FALSE,Saginaw Running,3,329,0:21:56,0,0,166,173,7:18,6:54,3,--,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,4,0,0:21:55,0:21:56,594,597
Running,10/31/2022 7:45,FALSE,Saginaw Running,4,440,0:29:32,0,0,166,176,7:23,6:22,3,3,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,5,0,0:29:31,0:29:32,591,600
Running,10/31/2022 6:20,FALSE,Saginaw Running,2.01,222,0:15:25,0,0,166,176,7:41,6:13,--,--,1.26,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.1,3,0,0:15:25,0:17:17,594,597
Running,10/30/2022 8:16,FALSE,Frankenmuth Running,15.01,"1,634",1:37:15,0,0,170,183,6:29,5:32,172,171,1.46,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,16,0,1:37:10,1:37:39,604,646
Running,10/29/2022 10:20,FALSE,Saginaw Running,3.36,370,0:25:28,0,0,167,174,7:35,7:01,9,9,1.27,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:33.6,4,0,0:25:28,0:25:28,591,600
Running,10/28/2022 8:03,FALSE,Saginaw Running,3,329,0:22:29,0,0,167,173,7:29,6:28,--,--,1.29,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,4,0,0:22:29,0:22:29,591,594
Treadmill Running,10/28/2022 7:16,FALSE,Treadmill Running,4.67,496,0:32:25,0,0,172,198,6:57,4:42,--,--,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:05.1,19,0,0:32:22,0:32:25,626,626
Running,10/28/2022 6:31,FALSE,Saginaw Running,3,329,0:23:28,0,0,167,178,7:49,7:02,--,--,1.23,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,4,0,0:23:27,0:25:21,594,597
Running,10/27/2022 6:31,FALSE,Saginaw Running,8,883,0:58:59,0,0,169,180,7:22,5:27,16,16,1.29,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,9,0,0:58:56,1:01:43,591,604
Running,10/26/2022 7:26,FALSE,Saginaw Running,12,"1,330",1:30:16,0,0,168,231,7:31,6:01,41,41,1.28,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,13,0,1:30:14,1:36:26,581,601
Running,10/25/2022 18:29,FALSE,Saginaw Running,4,437,0:28:52,0,0,165,173,7:13,6:46,7,7,1.35,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,5,0,0:28:51,0:28:52,591,604
Running,10/25/2022 7:48,FALSE,Saginaw Running,3,329,0:22:33,0,0,167,179,7:30,4:05,3,--,1.29,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:22:33,0:26:18,591,597
Running,10/25/2022 7:09,FALSE,Saginaw Running,4.96,506,0:31:37,0,0,173,196,6:22,4:35,--,--,1.42,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,02:29.9,11,0,0:31:36,0:31:37,591,591
Running,10/25/2022 6:27,FALSE,Saginaw Running,3,330,0:21:58,0,0,165,174,7:19,6:09,--,--,1.33,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,4,0,0:21:57,0:22:19,591,600
Running,10/24/2022 7:35,FALSE,Saginaw Running,5,549,0:39:50,0,0,164,174,7:58,6:51,--,--,1.23,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.0,6,0,0:39:49,0:39:56,591,597
